Mining NFT Owner,Wins,BASE Rewards
10wn0h...m64sr,236,16951.540
1q5t3l...jxmq6,106,8477.630
1l2hdj...8equn,90,6823.740
199jlu...k3h5q,73,5547.060
1gm0km...yq7as,60,5074.740
199krt...k64d0,58,5024.700
163vxq...pgde4,49,3897.450
1yplwr...dmntt,39,3222.980
1zgz0p...99kf5,39,3052.640
154ns0...waf45,29,2694.900
19ranl...ngfwj,27,2191.170
1ypzea...f9wlj,24,1649.090
1srv9y...8djea,20,1516.930
1am3zq...44pzs,15,1491.540
1549k2...gqa0d,12,1165.430
1rmsyw...42h94,12,1071.850
1lg2a5...afm2q,15,1039.810
1he5d7...kgqp8,11,942.410
14t35s...6vg8a,9,912.040
1fnytf...h23aa,11,880.160
17vp36...pe8dw,12,826.890
1c9xwz...02f07,9,785.410
1gg6sh...mqtjc,9,751.140
1punu2...n0pt5,6,739.220
1ehszu...k9au0,9,708.630
1dcn4v...tdv0k,10,680.810
1yk9p3...zghm2,7,665.720
18t68d...nvg75,6,595.150
1axzc2...rfqq2,6,542.880
14qw67...ksac6,6,541.690
1nyld5...84nm2,6,537.180
1q3w2j...w5fgw,6,525.180
146vcg...ryg4j,7,509.710
1v08a9...kvscr,7,474.710
1f6j6j...9kqqz,7,461.280
12g9l5...f0ywz,5,449.620
1jnvnm...z7azm,4,407.360
1jq8aw...wflz6,6,395.110
142man...dx5ad,5,385.490
1jmnj4...02x9k,4,370.620
1f337t...nt9c6,5,370.370
1tg4ha...9k00k,5,355.050
10ykaa...58cn6,5,347.730
1qkxut...77rp3,5,331.820
1rx9ka...gje0w,4,293.180
16wxja...yjllw,4,282.060
1mhc2m...vjhmf,4,275.930
17e2d0...apkf0,4,275.270
1e7cgs...mrcef,2,228.360
1smg8t...gkh8z,3,202.740
1fuae5...gc7ck,2,160.710
1ml09k...4w9cu,1,97.570
1qcn3t...37aww,1,89.100
1tf8wz...yr05l,1,83.910
1lfruj...7ckvw,1,78.800
1heh9t...ye7e7,1,75.070
1zg70y...fgh6u,1,71.990
1fw2t9...rw9p6,1,65.930
